HUT1_UF,S01_UF
HUT1_biopsy,S01_tissue
HUT5_UF,S18_UF
HUT5_biopsy,S18_tissue
HUT6_biopsy,S20_tissue
HUT13_UF,S02_UF
HUT13_biopsy,S02_tissue
HUT15_UF,S03_UF
HUT15_biopsy,S03_tissue
HUT17_UF,S04_UF
HUT17_biopsy,S04_tissue
HUT19_UF,S05_UF
HUT19_biopsy,S05_tissue
HUT21_UF,S06_UF
HUT21_biopsy,S06_tissue
HUT23_UF,S07_UF
HUT23_biopsy,S07_tissue
HUT24_UF,S08_UF
HUT24_biopsy,S08_tissue
HUT26_UF,S09_UF
HUT26_biopsy,S09_tissue
HUT31_UF,S10_UF
HUT31_biopsy,S10_tissue
HUT33_UF,S11_UF
HUT33_biopsy,S11_tissue
HUT35_UF,S12_UF
HUT39_UF,S13_UF
HUT39_biopsy,S13_tissue
HUT42_UF,S14_UF
HUT43_UF,S15_UF
HUT43_biopsy,S15_tissue
HUT47_UF,S16_UF
HUT47_biopsy,S16_tissue
HUT49_UF,S17_UF
HUT49_biopsy,S17_tissue
HUT53_UF,S19_UF
HUT53_biopsy,S19_tissue
HUT67_UF,S21_UF
HUT67_biopsy,S21_tissue
HUT6_UF,S20_UF
HUT71_UF,S22_UF
HUT71_biopsy_1,S22_tissue_1
HUT71_biopsy_2,S22_tissue_2
HUT71_biopsy_3,S22_tissue_3
